imageid,url,pitch,yaw,roll,manual_pitch,manual_yaw,object_id,object_title,object_classification,object_department,object_division,object_artist,object_century,object_datebegin,object_culture,object_provenance,object_dimensions,object_medium,object_technique,object_accessionyear
454183,"https://ids.lib.harvard.edu/ids/iiif/406823362/1568,0,892,1072/full/0/native.jpg",10,-16,-9,0,0,342942,"The Brown Sisters, Boston",Photographs,Department of Photographs,Modern and Contemporary Art,Nicholas Nixon,21st century,2012,American,"Nicholas Nixon, Massachusetts, created 2012, sold; [Fraenkel Gallery, San Francisco]; to Harvard Art Museums, 2012.",19.4 x 24.4 cm (7 5/8 x 9 5/8 in.)\r\nsheet: 20.3 x 25.4 cm (8 x 10 in.),NA,Gelatin silver print,2013
454183,"https://ids.lib.harvard.edu/ids/iiif/406823362/1034,93,848,1131/full/0/native.jpg",10,-30,-13,0,0,342942,"The Brown Sisters, Boston",Photographs,Department of Photographs,Modern and Contemporary Art,Nicholas Nixon,21st century,2012,American,"Nicholas Nixon, Massachusetts, created 2012, sold; [Fraenkel Gallery, San Francisco]; to Harvard Art Museums, 2012.",19.4 x 24.4 cm (7 5/8 x 9 5/8 in.)\r\nsheet: 20.3 x 25.4 cm (8 x 10 in.),NA,Gelatin silver print,2013
454183,"https://ids.lib.harvard.edu/ids/iiif/406823362/67,128,842,1123/full/0/native.jpg",0,16,18,0,0,342942,"The Brown Sisters, Boston",Photographs,Department of Photographs,Modern and Contemporary Art,Nicholas Nixon,21st century,2012,American,"Nicholas Nixon, Massachusetts, created 2012, sold; [Fraenkel Gallery, San Francisco]; to Harvard Art Museums, 2012.",19.4 x 24.4 cm (7 5/8 x 9 5/8 in.)\r\nsheet: 20.3 x 25.4 cm (8 x 10 in.),NA,Gelatin silver print,2013
454194,"https://ids.lib.harvard.edu/ids/iiif/406824265/630,6,502,669/full/0/native.jpg",6,-50,-8,0,-48,296021,Study for a Praying Saint,Drawings,Department of Drawings,European and American Art,Juan Conchillos y Falcó,17th century,1697,Spanish,NA,42 x 28.7 cm (16 9/16 x 11 5/16 in.),Black and white chalk and charcoal on blue prepared blue antique laid paper,NA,1978
454209,"https://ids.lib.harvard.edu/ids/iiif/406827880/957,873,465,620/full/0/native.jpg",-27,-66,14,0,-70,294189,Old Man Accosting a Young Woman,Drawings,Department of Drawings,European and American Art,Pierre-Alexandre Wille,18th century,1774,French,"Nicolas Joly at Galerie Yves Mikaeloff, Paris, sold; to Jeffrey E. Horvitz, Boston, 1994 (inv. no. D-F-311), gift; to Harvard University Art Museums, 1999\r\n",30.7 x 25.3 cm (12 1/16 x 9 15/16 in.),"Black ink and brown wash over black chalk on toned cream antique laid paper, laid down on laid paper, framing lines in brown ink",NA,1999
454252,"https://ids.lib.harvard.edu/ids/iiif/406932145/177,119,560,747/full/0/native.jpg",-18,52,16,30,36,337902,"Dispensary Just Outside Calcutta, Mother Theresa's Missionaries of Charity, Calcutta, India",Photographs,Department of Photographs,Modern and Contemporary Art,Mary Ellen Mark,20th century,1981,American,"Mary Ellen Mark, 1981, to; [Gary Schneider and John Erdman, New York] (1981-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",32.2 x 48 cm (12 11/16 x 18 7/8 in.)\r\nframe: 51.3 x 66.4 cm (20 3/16 x 26 1/8 in.),Gelatin silver print,Gelatin silver print,2011
454252,"https://ids.lib.harvard.edu/ids/iiif/406932145/2146,0,364,323/full/0/native.jpg",26,-39,4,-6,-24,337902,"Dispensary Just Outside Calcutta, Mother Theresa's Missionaries of Charity, Calcutta, India",Photographs,Department of Photographs,Modern and Contemporary Art,Mary Ellen Mark,20th century,1981,American,"Mary Ellen Mark, 1981, to; [Gary Schneider and John Erdman, New York] (1981-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",32.2 x 48 cm (12 11/16 x 18 7/8 in.)\r\nframe: 51.3 x 66.4 cm (20 3/16 x 26 1/8 in.),Gelatin silver print,Gelatin silver print,2011
454256,"https://ids.lib.harvard.edu/ids/iiif/406938601/1056,666,566,755/full/0/native.jpg",-6,-61,-11,6,-30,337703,John Huston and Edmund Wilson,Photographs,Department of Photographs,Modern and Contemporary Art,Louise Dahl-Wolfe,20th century,1950,American,"Louise Dahl-Wolfe Trust, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",25.5 x 24.2 cm (10 1/16 x 9 1/2 in.)\r\nframe: 43 x 41 cm (16 15/16 x 16 1/8 in.),Gelatin silver print,Gelatin silver print,2011
454256,"https://ids.lib.harvard.edu/ids/iiif/406938601/420,722,592,789/full/0/native.jpg",-7,-36,-3,6,-48,337703,John Huston and Edmund Wilson,Photographs,Department of Photographs,Modern and Contemporary Art,Louise Dahl-Wolfe,20th century,1950,American,"Louise Dahl-Wolfe Trust, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",25.5 x 24.2 cm (10 1/16 x 9 1/2 in.)\r\nframe: 43 x 41 cm (16 15/16 x 16 1/8 in.),Gelatin silver print,Gelatin silver print,2011
454287,"https://ids.lib.harvard.edu/ids/iiif/406934331/258,126,1381,1841/full/0/native.jpg",5,43,11,6,36,297607,Study for the Portrait of Miss Crowe,Drawings,Department of Drawings,European and American Art,Ignace-Henri-Jean-Théodore Fantin-Latour,19th century,1875,French,NA,52.8 x 37.8 cm (20 13/16 x 14 7/8 in.),"Black chalk and black crayon, squared in black crayon, on cream wove paper",NA,1942
